Resor bokade av LTN´s kundservice till/från/inom Jokkmokk år 2019,,,,,,,,,,,
,,,,,,,,,,,
Förklaring,,,,,,,,,,,
"Plats: B=Bud, E=Ensamåkare, F=Framsäte, f= Fällt Framsäte, H=Hela baksätet, L=Liggande, 2=Max 2 pass i baksätet ",,,,,,,,,,,
"Biltyp: AN=Personbil, S1=Multi/Specialfordon",,,,,,,,,,,
,,,,,,,,,,,
Resdag,Avresetid,Biltyp,Plats,Antal pass,Från gata,Från ort,Från Kommun,Till gata,Till ort ,Till kommun,Linjenr
1/6/2019,12:10,AN,,1,GETBERGSG,JOKKMOKK,JO,HC JOKKMOKK,JOKKMOKK,JO,0
1/6/2019,13:00,S1,,2,FLP LULEÅ,LULEÅ,LU,RÖDINGSTIGEN,JOKKMOKK,JO,0
1/6/2019,13:00,AN,,1,SGYM REHABCENTRUM,JOKKMOKK,JO,TELLEJOKK,TELLEJOKK,JO,0
1/6/2019,15:30,AN,,1,ÅSGATAN,JOKKMOKK,JO,HC JOKKMOKK,JOKKMOKK,JO,0
1/6/2019,16:45,AN,,1,HC JOKKMOKK,JOKKMOKK,JO,ÅSGATAN,JOKKMOKK,JO,0
1/6/2019,18:00,AN,,1,MATTISUDDEN,MATTISUDDEN,JO,KAITUMGÅRDEN ÖVERGÅRD,JOKKMOKK,JO,0
1/7/2019,03:10,LI,,1,BSTN JOKKMOKK,JOKKMOKK,JO,FLP LULEÅ,LULEÅ,LU,712
1/7/2019,04:25,AN,,1,TÅRRAJAUR,TÅRRAJAUR,JO,BSTN PITEÅ,PITEÅ,PI,0
1/7/2019,06:17,AN,,1,ULLENIUSG,JOKKMOKK,JO,SJUKHUSET,GÄLLIVARE,GÄ,0
1/7/2019,06:27,AN,,1,MATTISUDDEN,MATTISUDDEN,JO,SJUKHUSET,GÄLLIVARE,GÄ,0
1/7/2019,08:00,AN,,1,LÅNGG,VUOLLERIM,JO,BUP,LULEÅ,LU,0
1/7/2019,09:15,AN,,1,FÖRENINGSG,JOKKMOKK,JO,SJUKHUSET,GÄLLIVARE,GÄ,0
1/7/2019,10:03,AN,F,1,FÖRENINGSG,JOKKMOKK,JO,HC JOKKMOKK,JOKKMOKK,JO,0
1/7/2019,10:08,AN,,1,PUOTTAURE,PUOTTAURE,JO,DSK MOTT VUOLLERIM,VUOLLERIM,JO,0
1/7/2019,11:00,AN,B,0,SJUKHUSET,SUNDERBYN,LU,HC JOKKMOKK,JOKKMOKK,JO,0
1/7/2019,11:15,AN,F,1,HC JOKKMOKK,JOKKMOKK,JO,FÖRENINGSG,JOKKMOKK,JO,0
1/7/2019,11:41,AN,,1,FLYGSTRÅKET,PORJUS,JO,SJUKHUSET,GÄLLIVARE,GÄ,0
1/7/2019,12:15,AN,,1,DSK MOTT VUOLLERIM,VUOLLERIM,JO,PUOTTAURE,PUOTTAURE,JO,0
1/7/2019,12:31,AN,F,1,KAITUMGÅRDEN LINNÉGÅRDE,JOKKMOKK,JO,SJUKHUSET,GÄLLIVARE,GÄ,0
1/7/2019,12:34,AN,,2,KAITUMGÅRDEN LINNÉGÅRDE,JOKKMOKK,JO,HC JOKKMOKK,JOKKMOKK,JO,0
1/7/2019,12:46,S1,,2,HANTVERKARG,JOKKMOKK,JO,TV FTV JOKKMOKK,JOKKMOKK,JO,0
1/7/2019,12:50,AN,,1,FORSHÄLLAN,FORSHÄLLAN,JO,SJUKHUSET,GÄLLIVARE,GÄ,0
1/7/2019,12:54,AN,F,1,FÖRENINGSG,JOKKMOKK,JO,SOLG,JOKKMOKK,JO,0
1/7/2019,12:58,S1,,0,FRAMKÖRNING,,,BJÄRKAGÅRDEN GAMLA,VUOLLERIM,JO,0
1/7/2019,13:00,S1,,2,BJÄRKAGÅRDEN GAMLA,VUOLLERIM,JO,DSK MOTT VUOLLERIM,VUOLLERIM,JO,0
1/7/2019,13:00,AN,,1,HC JOKKMOKK,JOKKMOKK,JO,LILLÅV,MURJEK,JO,0
1/7/2019,13:00,AN,,1,SJUKHUSET,GÄLLIVARE,GÄ,MATTISUDDEN,MATTISUDDEN,JO,0
1/7/2019,13:35,S1,,2,DSK MOTT VUOLLERIM,VUOLLERIM,JO,BJÄRKAGÅRDEN GAMLA,VUOLLERIM,JO,0
1/7/2019,13:50,AN,F,1,SOLG,JOKKMOKK,JO,FÖRENINGSG,JOKKMOKK,JO,0
1/7/2019,14:00,AN,,1,SJUKHUSET,GÄLLIVARE,GÄ,FÖRENINGSG,JOKKMOKK,JO,0
1/7/2019,14:00,AN,,1,SJUKHUSET,GÄLLIVARE,GÄ,ULLENIUSG,JOKKMOKK,JO,0
1/7/2019,14:03,AN,,2,HC JOKKMOKK,JOKKMOKK,JO,KAITUMGÅRDEN LINNÉGÅRDE,JOKKMOKK,JO,0
